Mon,Day,DOY,Hour,DOY.h,foF2o,foF2m,SSN,Kp,Dst,TEC
1,1,1,0,1,3.1,3.88,124,0.67,4,4.49
1,1,1,1,1.04,3.35,4.11,124,0.67,3,4.64
1,1,1,2,1.08,3.5,4.21,124,0.67,1,4.53
1,1,1,3,1.12,3.5,3.93,124,1.33,1,5.08
1,1,1,4,1.17,3.67,3.44,124,1.33,-1,5.01
1,1,1,5,1.21,3.75,3.32,124,1.33,-4,4.33
1,1,1,6,1.25,3.62,4.03,124,2,-6,4.42
1,1,1,7,1.29,4.25,5.48,124,2,-7,5.87
1,1,1,8,1.33,6.55,7.1,124,2,-5,11.23
1,1,1,9,1.38,6.05,8.39,124,2,3,16.29
1,1,1,10,1.42,10.43,9.19,124,2,12,23.23
1,1,1,11,1.46,8.88,9.58,124,2,10,23.19
1,1,1,12,1.5,8.88,9.67,124,3.67,-1,22.39
1,1,1,13,1.54,8.35,9.58,124,3.67,-19,23.76
1,1,1,14,1.58,9.25,9.31,124,3.67,-32,27.58
1,1,1,15,1.62,9.68,8.8,124,3,-39,29.34
1,1,1,16,1.67,9.21,8.02,124,3,-32,25.19
1,1,1,17,1.71,7.15,7.06,124,3,-27,17.94
1,1,1,18,1.75,5.15,6.13,124,3,-26,10.8
1,1,1,19,1.79,4.15,5.39,124,3,-26,7.58
1,1,1,20,1.83,3.65,4.81,124,3,-27,6.98
1,1,1,21,1.88,3.52,4.34,124,3,-25,7.94
1,1,1,22,1.92,4.5,3.98,124,3,-17,7.98
1,1,1,23,1.96,4.12,3.92,124,3,-13,7.89
1,2,2,0,2,4.45,3.88,133,3.33,-15,8.59
1,2,2,1,2.04,4.42,4.12,133,3.33,-14,7.58
1,2,2,2,2.08,3.62,4.23,133,3.33,-15,5.81
1,2,2,3,2.12,3.05,3.98,133,4.33,-23,5.78
1,2,2,4,2.17,4.15,3.5,133,4.33,-24,5.35
1,2,2,5,2.21,4.05,3.39,133,4.33,-19,5.22
1,2,2,6,2.25,4.2,4.12,133,3.33,-17,5.36
1,2,2,7,2.29,6.25,5.6,133,3.33,-22,8.4
1,2,2,8,2.33,7.3,7.27,133,3.33,-19,12
1,2,2,9,2.38,8.4,8.6,133,2.33,-20,17.36
1,2,2,10,2.42,11.97,9.45,133,2.33,-24,22.59
1,2,2,11,2.46,8.1,9.87,133,2.33,-23,22.14
1,2,2,12,2.5,8.9,9.98,133,2.67,-15,23.32
1,2,2,13,2.54,9.35,9.89,133,2.67,-20,24.26
1,2,2,14,2.58,9.3,9.62,133,2.67,-25,24.32
1,2,2,15,2.62,10.96,9.11,133,3.33,-27,21.83
1,2,2,16,2.67,7.65,8.3,133,3.33,-24,16.73
1,2,2,17,2.71,6.3,7.3,133,3.33,-18,14.21
1,2,2,18,2.75,5,6.35,133,4.33,-18,9.46
1,2,2,19,2.79,3.9,5.58,133,4.33,-12,6.52
1,2,2,20,2.83,3.73,4.98,133,4.33,-11,6.22
1,2,2,21,2.88,3.8,4.49,133,2.33,-15,7.01
1,2,2,22,2.92,3.9,4.11,133,2.33,-16,7.14
1,2,2,23,2.96,4.1,3.8,133,2.33,-13,6.78
1,3,3,0,3,4.33,3.99,153,2,-9,7.51
1,3,3,1,3.04,4.2,4.24,153,2,-6,6.87
1,3,3,2,3.08,4.17,4.34,153,2,-5,6.57
1,3,3,3,3.12,4.2,4.05,153,1.67,-9,7.32
1,3,3,4,3.17,nan,3.53,153,1.67,-13,nan
1,3,3,5,3.21,nan,3.39,153,1.67,-11,nan
1,3,3,6,3.25,nan,4.1,153,2,-15,nan
1,3,3,7,3.29,nan,5.57,153,2,-18,nan
1,3,3,8,3.33,6.65,7.2,153,2,-17,13.03
1,3,3,9,3.38,8.4,8.48,153,2,-20,19.57
1,3,3,10,3.42,10.85,9.26,153,2,-22,26.14
1,3,3,11,3.46,9.97,9.61,153,2,-19,26.5
1,3,3,12,3.5,8.93,9.68,153,3,-19,24.36
1,3,3,13,3.54,9.07,9.58,153,3,-17,24.76
1,3,3,14,3.58,9.32,9.31,153,3,-15,24.67
1,3,3,15,3.62,8.65,8.8,153,2.67,-16,20.63
1,3,3,16,3.67,7.5,8.03,153,2.67,-26,17.48
1,3,3,17,3.71,6.7,7.07,153,2.67,-29,13.93
1,3,3,18,3.75,4.35,6.14,153,2.67,-28,8.35
1,3,3,19,3.79,4.1,5.38,153,2.67,-31,6.39
1,3,3,20,3.83,2.98,4.8,153,2.67,-30,5.68
1,3,3,21,3.88,3.23,4.33,153,1,-24,6.88
1,3,3,22,3.92,3.52,3.98,153,1,-21,7.04
1,3,3,23,3.96,nan,3.8,153,1,-19,nan
1,4,4,0,4,4.15,3.87,136,0.67,-14,7.27
1,4,4,1,4.04,3.58,4.1,136,0.67,-10,6.2
1,4,4,2,4.08,3.58,4.2,136,0.67,-10,5.85
1,4,4,3,4.12,3.67,3.92,136,0.67,-12,6.09
1,4,4,4,4.17,3.4,3.43,136,0.67,-12,5.11
1,4,4,5,4.21,2.92,3.29,136,0.67,-13,3.86
1,4,4,6,4.25,3.25,4,136,1,-10,4.19
1,4,4,7,4.29,3.95,5.45,136,1,-8,5.97
1,4,4,8,4.33,6.4,7.08,136,1,-8,11.99
1,4,4,9,4.38,7.6,8.37,136,2,-12,17.77
1,4,4,10,4.42,9.65,9.17,136,2,-12,24.02
1,4,4,11,4.46,10.4,9.55,136,2,-6,27.89
1,4,4,12,4.5,7.5,9.64,136,2.33,-1,23.6
1,4,4,13,4.54,9.03,9.54,136,2.33,-4,25.01
1,4,4,14,4.58,9.55,9.29,136,2.33,-7,26.11
1,4,4,15,4.62,8.82,8.8,136,2,-10,22.45
1,4,4,16,4.67,7.2,8.03,136,2,-10,17.52
1,4,4,17,4.71,6.05,7.07,136,2,-7,14.27
1,4,4,18,4.75,5.4,6.14,136,2,-5,10.23
1,4,4,19,4.79,4.6,5.38,136,2,-11,7.61
1,4,4,20,4.83,3.77,4.8,136,2,-15,6.73
1,4,4,21,4.88,2.95,4.33,136,1.33,-14,7.26
1,4,4,22,4.92,3.25,3.97,136,1.33,-11,7.28
1,4,4,23,4.96,3.33,3.8,136,1.33,-10,6.51
1,5,5,0,5,3.58,3.87,134,0.33,-10,7.16
1,5,5,1,5.04,3.9,4.1,134,0.33,-8,6.93
1,5,5,2,5.08,3.83,4.19,134,0.33,-8,7.14
1,5,5,3,5.12,3.5,3.92,134,1,-8,7.72
1,5,5,4,5.17,3.45,3.42,134,1,-9,6.85
1,5,5,5,5.21,3.25,3.29,134,1,-7,6.47
1,5,5,6,5.25,3.45,3.99,134,1.33,-4,7.06
1,5,5,7,5.29,4.1,5.44,134,1.33,-6,8.55
1,5,5,8,5.33,6.75,7.07,134,1.33,-7,14.61
1,5,5,9,5.38,7.85,8.37,134,0.67,-9,18.89
1,5,5,10,5.42,10.3,9.17,134,0.67,-11,22.53
1,5,5,11,5.46,9.28,9.54,134,0.67,-13,22.65
1,5,5,12,5.5,7.6,9.62,134,1,-14,20.88
1,5,5,13,5.54,7.08,9.53,134,1,-12,20.54
1,5,5,14,5.58,8.97,9.28,134,1,-9,22.52
1,5,5,15,5.62,8.2,8.8,134,0.67,-10,21
1,5,5,16,5.67,6.95,8.03,134,0.67,-10,16.01
1,5,5,17,5.71,6.05,7.07,134,0.67,-5,13.46
1,5,5,18,5.75,4.5,6.14,134,0,-3,9.97
1,5,5,19,5.79,4.05,5.38,134,0,-5,8.4
1,5,5,20,5.83,3.67,4.8,134,0,-8,7.43
1,5,5,21,5.88,3.05,4.33,134,0.33,-8,7.07
1,5,5,22,5.92,3.05,3.97,134,0.33,-7,6.62
1,5,5,23,5.96,2.92,3.79,134,0.33,-8,6.39
1,6,6,0,6,3.12,3.87,167,0,-10,6.19
1,6,6,1,6.04,3.45,4.09,167,0,-9,5.85
1,6,6,2,6.08,3.6,4.19,167,0,-8,5.8
1,6,6,3,6.12,3.5,3.91,167,0.33,-8,6.47
1,6,6,4,6.17,3.48,3.42,167,0.33,-6,5.13
1,6,6,5,6.21,3.35,3.28,167,0.33,-3,4.73
1,6,6,6,6.25,3.75,3.98,167,1,-3,5.53
1,6,6,7,6.29,4.4,5.43,167,1,-6,7.23
1,6,6,8,6.33,7.7,7.06,167,1,-8,15.11
1,6,6,9,6.38,8.82,8.36,167,0.33,-10,19.3
1,6,6,10,6.42,8.55,9.16,167,0.33,-10,20.29
1,6,6,11,6.46,8.45,9.53,167,0.33,-9,22.72
1,6,6,12,6.5,8,9.61,167,0.67,-5,22.88
1,6,6,13,6.54,8.21,9.51,167,0.67,-6,22.81
1,6,6,14,6.58,8.82,9.27,167,0.67,-5,20.99
1,6,6,15,6.62,7.86,8.8,167,0.67,-2,18.67
1,6,6,16,6.67,7.03,8.04,167,0.67,-2,15.47
1,6,6,17,6.71,5.6,7.08,167,0.67,-5,12.53
1,6,6,18,6.75,4.95,6.14,167,1.33,-6,8.85
1,6,6,19,6.79,3.65,5.38,167,1.33,-9,6.84
1,6,6,20,6.83,3.23,4.79,167,1.33,-9,5.98
1,6,6,21,6.88,3.05,4.32,167,1.33,-8,6.21
1,6,6,22,6.92,2.8,3.97,167,1.33,-10,6.14
1,6,6,23,6.96,2.88,3.79,167,1.33,-10,5.37
1,7,7,0,7,3.1,3.86,140,0.33,-10,6.22
1,7,7,1,7.04,3.17,4.09,140,0.33,-8,5.79
1,7,7,2,7.08,3.2,4.18,140,0.33,-7,5.55
1,7,7,3,7.12,3.12,3.91,140,1.67,-10,5.96
1,7,7,4,7.17,3.3,3.41,140,1.67,-10,4.34
1,7,7,5,7.21,3.52,3.27,140,1.67,-6,4.57
1,7,7,6,7.25,3.8,3.97,140,0,-6,4.93
1,7,7,7,7.29,4.2,5.42,140,0,-9,6.31
1,7,7,8,7.33,6.55,7.05,140,0,-10,12.55
1,7,7,9,7.38,7.42,8.35,140,0.67,-10,16.82
1,7,7,10,7.42,8.7,9.15,140,0.67,-11,19.35
1,7,7,11,7.46,8,9.52,140,0.67,-9,21.89
1,7,7,12,7.5,8.03,9.6,140,0.67,-9,22.9
1,7,7,13,7.54,8.15,9.5,140,0.67,-12,23.6
1,7,7,14,7.58,9.05,9.26,140,0.67,-10,24.62
1,7,7,15,7.62,8.4,8.8,140,3.33,-2,23.64
1,7,7,16,7.67,7.85,8.04,140,3.33,-2,20.35
1,7,7,17,7.71,7.2,7.08,140,3.33,-8,16.3
1,7,7,18,7.75,5,6.14,140,2.33,-9,9.93
1,7,7,19,7.79,3.9,5.38,140,2.33,-3,7.83
1,7,7,20,7.83,2.88,4.79,140,2.33,-1,6.85
1,7,7,21,7.88,3.2,4.32,140,2.67,0,7.58
1,7,7,22,7.92,3.25,3.97,140,2.67,4,7.75
1,7,7,23,7.96,3.35,3.79,140,2.67,2,6.92
1,8,8,0,8,3.23,3.86,107,3,-1,6.17
1,8,8,1,8.04,3.35,4.08,107,3,-8,5.79
1,8,8,2,8.08,3.4,4.18,107,3,-12,5.96
1,8,8,3,8.12,3.65,3.9,107,3.33,-13,6.69
1,8,8,4,8.17,4,3.41,107,3.33,-14,5
1,8,8,5,8.21,4.47,3.26,107,3.33,-11,4.93
1,8,8,6,8.25,3.38,3.96,107,1,-11,4.15
1,8,8,7,8.29,4.2,5.41,107,1,-11,5.81
1,8,8,8,8.33,6.86,7.05,107,1,-12,13.67
1,8,8,9,8.38,8.85,8.35,107,1,-13,20.54
1,8,8,10,8.42,9.65,9.15,107,1,-12,23.02
1,8,8,11,8.46,8.22,9.51,107,1,-10,23.67
1,8,8,12,8.5,8.88,9.59,107,0.67,-12,24.55
1,8,8,13,8.54,8.8,9.49,107,0.67,-14,24.83
1,8,8,14,8.58,9,9.26,107,0.67,-13,23.04
1,8,8,15,8.62,8.9,8.8,107,0.67,-9,21.39
1,8,8,16,8.67,7.6,8.05,107,0.67,-9,17.47
1,8,8,17,8.71,8,7.09,107,0.67,-5,14.32
1,8,8,18,8.75,4.05,6.15,107,1,-3,7.43
1,8,8,19,8.79,3,5.38,107,1,-4,4.91
1,8,8,20,8.83,3.17,4.79,107,1,-7,4.71
1,8,8,21,8.88,3.25,4.32,107,1.33,-3,5.72
1,8,8,22,8.92,3.05,3.96,107,1.33,1,5.77
1,8,8,23,8.96,3,3.79,107,1.33,0,5.3
1,9,9,0,9,3.1,3.85,120,3,0,6.16
1,9,9,1,9.04,3.27,4.08,120,3,-5,5.85
1,9,9,2,9.08,3.4,4.18,120,3,-14,6.11
1,9,9,3,9.12,3.77,3.9,120,2.67,-22,6.68
1,9,9,4,9.17,3.62,3.4,120,2.67,-22,5.27
1,9,9,5,9.21,3.88,3.25,120,2.67,-20,5.38
1,9,9,6,9.25,3.65,3.95,120,1.33,-16,5.22
1,9,9,7,9.29,3.95,5.4,120,1.33,-15,6.53
1,9,9,8,9.33,6.4,7.04,120,1.33,-19,12.66
1,9,9,9,9.38,8.3,8.34,120,1.67,-21,19.5
1,9,9,10,9.42,9.45,9.14,120,1.67,-21,23.65
1,9,9,11,9.46,8.15,9.5,120,1.67,-18,25.01
1,9,9,12,9.5,8.6,9.57,120,1,-17,25.32
1,9,9,13,9.54,8.57,9.48,120,1,-15,25.85
1,9,9,14,9.58,10.15,9.25,120,1,-9,24.67
1,9,9,15,9.62,8,8.8,120,1,-4,20.02
1,9,9,16,9.67,7.25,8.05,120,1,-1,16.86
1,9,9,17,9.71,6.5,7.09,120,1,0,14.13
1,9,9,18,9.75,4.6,6.15,120,2.67,1,9.58
1,9,9,19,9.79,4.15,5.38,120,2.67,-3,7.48
1,9,9,20,9.83,3.2,4.79,120,2.67,4,6.96
1,9,9,21,9.88,3.67,4.32,120,1.67,3,7.4
1,9,9,22,9.92,3.35,3.96,120,1.67,4,7.06
1,9,9,23,9.96,3.35,3.78,120,1.67,6,6.24
1,10,10,0,10,3.23,3.85,137,2,5,6.07
1,10,10,1,10.04,3.48,4.07,137,2,2,5.81
1,10,10,2,10.08,3.7,4.17,137,2,-1,5.91
1,10,10,3,10.12,3.7,3.9,137,1.67,-2,6.85
1,10,10,4,10.17,3.88,3.4,137,1.67,-5,5.16
1,10,10,5,10.21,3.8,3.25,137,1.67,-8,5.35
1,10,10,6,10.25,3.83,3.94,137,0.67,-6,4.43
1,10,10,7,10.29,4.9,5.39,137,0.67,-4,6.22
1,10,10,8,10.33,7.78,7.03,137,0.67,-3,13.65
1,10,10,9,10.38,8.4,8.34,137,0.67,3,17.83
1,10,10,10,10.42,10.6,9.13,137,0.67,4,23.5
1,10,10,11,10.46,8.75,9.49,137,0.67,2,24.64
1,10,10,12,10.5,7.9,9.56,137,1,-1,23.83
1,10,10,13,10.54,8.76,9.46,137,1,-3,23.72
1,10,10,14,10.58,8.8,9.24,137,1,-2,22.17
1,10,10,15,10.62,7.95,8.8,137,1.67,0,19.16
1,10,10,16,10.67,6.25,8.05,137,1.67,-5,16.61
1,10,10,17,10.71,7.1,7.09,137,1.67,-7,15.6
1,10,10,18,10.75,5.35,6.15,137,0.67,-6,10.83
1,10,10,19,10.79,5.8,5.38,137,0.67,-5,8.94
1,10,10,20,10.83,3.45,4.79,137,0.67,-4,6.54
1,10,10,21,10.88,3.02,4.31,137,0.33,-2,6.67
1,10,10,22,10.92,3.12,3.96,137,0.33,-2,6.28
1,10,10,23,10.96,3.38,3.78,137,0.33,-4,5.94
1,11,11,0,11,3.67,3.85,142,0,-4,6.62
1,11,11,1,11.04,3.75,4.07,142,0,-5,6.15
1,11,11,2,11.08,3.73,4.17,142,0,-6,6.23
1,11,11,3,11.12,3.58,3.89,142,0,-8,6.04
1,11,11,4,11.17,3.62,3.39,142,0,-8,5.12
1,11,11,5,11.21,3.85,3.24,142,0,-5,5.3
1,11,11,6,11.25,3.9,3.93,142,0,0,5.5
1,11,11,7,11.29,4.7,5.38,142,0,3,7.42
1,11,11,8,11.33,6.11,7.02,142,0,4,12.68
1,11,11,9,11.38,7.78,8.33,142,0.33,6,17.19
1,11,11,10,11.42,8.6,9.13,142,0.33,8,20.94
1,11,11,11,11.46,8.93,9.48,142,0.33,10,23.08
1,11,11,12,11.5,7.58,9.55,142,0.67,10,22.21
1,11,11,13,11.54,8.85,9.45,142,0.67,9,22.01
1,11,11,14,11.58,8.15,9.24,142,0.67,9,20.02
1,11,11,15,11.62,7.53,8.8,142,0.67,8,18.1
1,11,11,16,11.67,6.88,8.06,142,0.67,5,16.47
1,11,11,17,11.71,6.25,7.1,142,0.67,6,13.78
